run_id,issue,template,impl_model,design_model,impl_segment,wall_s,founder_gate_s,net_s,noisy
c79a7386-bd54-4464-a031-3cb77583fc43,FLY-2444,tpl_code,codex/gpt-5.6-sol/xhigh,,O,74532.0,11076.019999999999,62103.615000000005,True
8b503475-e5a5-472f-baea-bda9e366b5c2,FLY-2445,tpl_code,codex/gpt-5.6-sol/xhigh,,O,80078.0,30276.733,49518.429000000004,True
e72f53b5-8195-48af-b4bb-a0d5c10b52e2,FLY-2359,tpl_code,codex/gpt-5.6-sol/xhigh,codex/gpt-6-astra/xhigh,O,79141.0,48096.896,31044.104,False
1a6c34d0-bc99-4ec5-86bd-af1eb8b45d10,FLY-2398,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,26728.0,1089.213,25638.787,False
70ccd0dd-494d-4e95-bf93-4aa4820e7fc2,FLY-2134,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,33441.0,4608.223,28832.777000000002,False
a8b54a51-cb16-424e-95f8-3e44223acc15,FLY-2352,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,188077.0,164129.026,23947.973999999987,False
ce54ec2a-6b8b-4c46-bcc6-6e698ba194ab,FLY-2452,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,49557.0,27517.289,22039.445,True
d6c4b403-a0c8-4339-8e2e-d36cf48d0cdf,FLY-2454,tpl_simple_code,codex/gpt-6-astra/medium,,O,27416.0,5524.792,20980.645,True
35ab9e12-2ce4-42ca-a15a-966682e289fb,FLY-2446,tpl_simple_code,codex/gpt-6-astra/medium,,O,27290.0,7804.75,19482.899,True
a10f4de0-9b6d-4799-ba92-4ed98cc795ce,FLY-2388,tpl_simple_code,codex/gpt-6-astra/medium,,O,3827.0,2558.457,1268.5430000000001,False
99288dcf-1e6a-4577-ac8c-c339c041c078,FLY-2351,tpl_simple_code,codex/gpt-6-astra/medium,,O,438154.0,435.714,437718.286,False
05f4aa96-4b2d-43cf-a593-3a1fc3668660,FLY-2465,tpl_code,codex/gpt-6-astra/medium,codex/gpt-6-astra/xhigh,O,48371.0,14772.720000000001,33596.5,True
a0cefa61-e517-4898-9a2c-11d2f09aee9f,FLY-2468,tpl_simple_code,codex/gpt-6-astra/medium,,O,2666.0,1178.609,1487.391,False
ffa8c441-b308-4043-bf4a-c27c6e6e5e0d,FLY-2461,tpl_simple_code,codex/gpt-6-astra/medium,,O,41177.0,34435.691,6741.07,True
da756bf5-7f5e-43d8-a215-a323d172548d,FLY-2453,tpl_simple_code,codex/gpt-6-astra/medium,,O,30404.0,4119.169,26284.831,False
2c97be57-c3e4-4c06-8f2c-09b447b3b747,FLY-2460,tpl_simple_code,codex/gpt-6-astra/medium,,O,8962.0,8668.853,293.14700000000084,False
b36fc025-ce12-42d5-a2b6-64e782cd379a,FLY-2455,tpl_simple_code,codex/gpt-6-astra/medium,,O,14737.0,8693.039,6043.960999999999,False
b3353227-9670-4322-9ac1-182de1562dec,FLY-2456,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,62789.0,19924.659,42859.949,True
b6c1c16d-01b5-4313-a590-6954c4ece01f,FLY-2482,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,11749.0,3845.777,7903.223,False
82ffb3b0-23f6-40c4-be88-2c8848d06700,FLY-2483,tpl_code,codex/gpt-6-astra/medium,codex/gpt-6-astra/xhigh,O,71640.0,53597.765,18041.648999999998,True
2aba1758-2a15-4adb-97cd-c8e5088b5f80,FLY-2485,tpl_code,codex/gpt-6-astra/medium,codex/gpt-6-astra/xhigh,O,67296.0,51447.649999999994,15846.773000000001,True
477925df-2e6e-427c-b3eb-794f686302cc,FLY-2389,tpl_code,codex/gpt-6-astra/medium,codex/gpt-6-astra/xhigh,O,65049.0,56077.343,8971.657,False
d6db3bfe-d10e-4d2e-8cd1-ffdd2dd018ef,FLY-2484,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,48044.0,31549.052,16493.714,True
1e427675-5de1-40d3-9e0f-2551ae0edd94,FLY-2471,tpl_simple_code,codex/gpt-6-astra/medium,,O,14879.0,8846.9,6023.942000000001,True
a1570b68-529a-4588-8097-e37bfdd22e55,FLY-2504,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,14952.0,2425.986,12526.014,False
c7c97c86-870e-46bd-af87-935c79da1e7a,FLY-2506,tpl_simple_code,codex/gpt-6-astra/medium,,O,14741.0,10364.81,4376.1900000000005,False
20b86626-35fb-41f3-a64b-0fd4408b4e41,FLY-2507,tpl_simple_code,codex/gpt-6-astra/medium,,O,14738.0,7086.665,7649.705,True
f782d5bd-c5c1-4700-b8d7-f8c38bd6ce2c,FLY-2509,tpl_simple_code,codex/gpt-6-astra/medium,,O,43073.0,38363.244,4709.756000000001,False
db8d4d16-abb1-4b9f-bde2-d5a82259270f,FLY-2505,tpl_simple_code,codex/gpt-6-astra/medium,,O,245913.0,229251.544,16649.665999999997,True
05c31b97-fa36-49be-a9a9-104a92f58d1c,FLY-2393,tpl_simple_code,codex/gpt-6-astra/medium,,O,137365.0,123102.70199999999,14260.311000000016,True
5e55e17e-1005-4c8a-a514-80fa3e7c11d1,FLY-2459,tpl_simple_code,codex/gpt-6-astra/medium,,O,231859.0,203303.70799999998,28481.527000000002,True
0ff8b5aa-95e3-4144-8fa5-142bbfefcb9b,FLY-1949,tpl_simple_code,codex/gpt-6-astra/medium,,O,42572.0,38327.91,4244.0899999999965,False
000d209a-f8cc-4ae4-8e0a-291f655263ac,FLY-1942,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,42006.0,24600.753,17405.247,False
dcfc781a-615c-400f-b64a-eaf0417a85fc,FLY-2490,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,211429.0,180650.553,29686.264999999985,True
9d20fedd-f7dd-4a2c-a1d3-27f76deb4114,FLY-2498,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,94217.0,81433.425,12776.845000000001,True
15188b39-c4f3-4a48-a14a-db25dd9997aa,FLY-2517,tpl_code,codex/gpt-6-astra/medium,codex/gpt-6-astra/xhigh,O,188378.0,98041.296,89134.466,True
2776f5f7-60ab-41be-b13e-2759a908d70c,FLY-2478,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,188663.0,174838.886,13822.629000000015,True
91fb5b92-d68a-4ae5-9560-d67f6ac8018f,FLY-2520,tpl_simple_code,codex/gpt-6-astra/medium,,O,93275.0,79569.962,11517.103000000003,True
50274a0c-6b85-4673-ba0c-9bbe1e04f253,FLY-2534,tpl_simple_code,codex/gpt-6-astra/medium,,O,16453.0,13781.358,2671.642,False
30b4f2a4-62fa-4adf-ae37-4088ae98a212,FLY-2392,tpl_code,codex/gpt-6-astra/medium,claude/claude-fable-5-1/high,O,16522.0,1946.399,14575.601,False
55ed03ff-956d-4854-a644-bc2daad252c5,FLY-2448,tpl_simple_code,codex/gpt-6-astra/medium,,O,13001.0,11505.791,1495.2090000000007,False
