resets_at_utc,host_tokens_until_max,min_pct,max_pct,delta_pct,pct_per_100M_tokens
2026-09-30T05:33Z,1037546,0.0,0.0,0.0,
2026-09-30T05:34Z,1065108,0.0,0.0,0.0,
2026-09-30T05:35Z,909005,0.0,0.0,0.0,
2026-09-30T05:36Z,1115650,0.0,0.0,0.0,
2026-09-30T05:37Z,1336053,0.0,0.0,0.0,
2026-09-30T05:38Z,1175338,0.0,0.0,0.0,
2026-09-30T05:39Z,1406420,0.0,0.0,0.0,
2026-09-30T05:40Z,1652887,0.0,0.0,0.0,
2026-09-30T05:41Z,1271822,0.0,0.0,0.0,
2026-09-30T05:42Z,1299386,0.0,0.0,0.0,
2026-09-30T05:43Z,1550447,0.0,0.0,0.0,
2026-09-30T05:44Z,1588679,0.0,0.0,0.0,
2026-09-30T05:45Z,1391254,0.0,0.0,0.0,
2026-09-30T05:46Z,1418784,0.0,0.0,0.0,
2026-09-30T05:47Z,961150,0.0,0.0,0.0,
2026-09-30T05:48Z,973398,0.0,0.0,0.0,
2026-09-30T05:49Z,61340,0.0,0.0,0.0,
2026-09-30T05:50Z,164156,0.0,0.0,0.0,
2026-09-30T05:51Z,222902,0.0,0.0,0.0,
2026-09-30T05:52Z,340232,0.0,0.0,0.0,
2026-09-30T05:53Z,389418,0.0,0.0,0.0,
2026-09-30T05:54Z,381355,0.0,0.0,0.0,
2026-09-30T05:55Z,356461,0.0,0.0,0.0,
2026-09-30T05:56Z,586064,0.0,0.0,0.0,
2026-09-30T05:57Z,499374,0.0,0.0,0.0,
2026-09-30T05:58Z,379064,0.0,0.0,0.0,
2026-09-30T05:59Z,480718,0.0,0.0,0.0,
2026-09-30T06:00Z,422505,0.0,0.0,0.0,
2026-09-30T06:01Z,440917,0.0,0.0,0.0,
2026-09-30T06:02Z,554828,0.0,0.0,0.0,
2026-09-30T06:03Z,582402,0.0,0.0,0.0,
2026-09-30T06:04Z,714724,0.0,0.0,0.0,
2026-09-30T06:05Z,862421,0.0,0.0,0.0,
2026-09-30T06:06Z,794509,0.0,0.0,0.0,
2026-09-30T06:07Z,832778,0.0,0.0,0.0,
2026-09-30T06:08Z,869618,0.0,0.0,0.0,
2026-09-30T06:09Z,775586,0.0,0.0,0.0,
2026-09-30T06:10Z,940097,0.0,0.0,0.0,
2026-09-30T06:11Z,976903,0.0,0.0,0.0,
2026-09-30T06:12Z,1015167,0.0,0.0,0.0,
2026-09-30T06:13Z,1052005,0.0,0.0,0.0,
2026-09-30T06:14Z,1090263,0.0,0.0,0.0,
2026-09-30T06:15Z,964090,0.0,0.0,0.0,
2026-09-30T06:16Z,1159277,0.0,0.0,0.0,
2026-09-30T06:17Z,1023920,0.0,0.0,0.0,
2026-09-30T06:18Z,1051506,0.0,0.0,0.0,
2026-09-30T06:19Z,1079190,0.0,0.0,0.0,
2026-09-30T06:20Z,1294795,0.0,0.0,0.0,
2026-09-30T06:21Z,756534,0.0,0.0,0.0,
2026-09-30T06:22Z,962551,0.0,0.0,0.0,
2026-09-30T06:23Z,982416,0.0,0.0,0.0,
2026-09-30T06:24Z,1000848,0.0,0.0,0.0,
2026-09-30T06:25Z,1226736,0.0,0.0,0.0,
2026-09-30T06:26Z,1043699,0.0,0.0,0.0,
2026-09-30T06:27Z,1062123,0.0,0.0,0.0,
2026-09-30T06:28Z,1300254,0.0,0.0,0.0,
2026-09-30T06:29Z,1552182,0.0,0.0,0.0,
2026-09-30T06:30Z,1589002,0.0,0.0,0.0,
2026-09-30T06:31Z,1392184,0.0,0.0,0.0,
2026-09-30T06:32Z,1419766,0.0,0.0,0.0,
2026-09-30T06:33Z,1691609,0.0,0.0,0.0,
2026-09-30T06:34Z,490113,0.0,0.0,0.0,
2026-09-30T06:35Z,191190,0.0,0.0,0.0,
2026-09-30T06:36Z,339010,0.0,0.0,0.0,
2026-09-30T06:37Z,353190,0.0,0.0,0.0,
2026-09-30T06:38Z,402279,0.0,0.0,0.0,
2026-09-30T06:39Z,451395,0.0,0.0,0.0,
2026-09-30T06:40Z,500502,0.0,0.0,0.0,
2026-09-30T06:41Z,621277,0.0,0.0,0.0,
2026-09-30T06:42Z,604552,0.0,0.0,0.0,
2026-09-30T06:43Z,653462,0.0,0.0,0.0,
2026-09-30T06:44Z,612318,0.0,0.0,0.0,
2026-09-30T06:45Z,745267,0.0,0.0,0.0,
2026-09-30T06:46Z,691925,0.0,0.0,0.0,
2026-09-30T06:47Z,730101,0.0,0.0,0.0,
2026-09-30T06:48Z,879840,0.0,0.0,0.0,
2026-09-30T06:49Z,692009,0.0,0.0,0.0,
2026-09-30T06:50Z,841784,0.0,0.0,0.0,
2026-09-30T06:51Z,624816,0.0,0.0,0.0,
2026-09-30T06:52Z,906000,0.0,0.0,0.0,
2026-09-30T06:53Z,806704,0.0,0.0,0.0,
2026-09-30T06:54Z,834240,0.0,0.0,0.0,
2026-09-30T06:55Z,1008418,0.0,0.0,0.0,
2026-09-30T06:56Z,1045180,0.0,0.0,0.0,
2026-09-30T06:57Z,925974,0.0,0.0,0.0,
2026-09-30T06:58Z,1115426,0.0,0.0,0.0,
2026-09-30T06:59Z,985563,0.0,0.0,0.0,
2026-09-30T07:00Z,847521,0.0,0.0,0.0,
2026-09-30T07:01Z,867720,0.0,0.0,0.0,
2026-09-30T07:02Z,1066781,0.0,0.0,0.0,
2026-09-30T07:03Z,1465423,0.0,0.0,0.0,
2026-09-30T07:04Z,940360,0.0,0.0,0.0,
2026-09-30T07:05Z,1349420,0.0,0.0,0.0,
2026-09-30T07:06Z,392324,0.0,0.0,0.0,
2026-09-30T07:07Z,592967,0.0,0.0,0.0,
2026-09-30T07:08Z,1205865,0.0,0.0,0.0,
2026-09-30T07:09Z,1025527,0.0,0.0,0.0,
2026-09-30T07:10Z,1045354,0.0,0.0,0.0,
2026-09-30T07:11Z,1063748,0.0,0.0,0.0,
2026-09-30T07:12Z,1083555,0.0,0.0,0.0,
2026-09-30T07:13Z,1101923,0.0,0.0,0.0,
2026-09-30T07:14Z,1121714,0.0,0.0,0.0,
2026-09-30T07:15Z,1370805,0.0,0.0,0.0,
2026-09-30T07:16Z,1398271,0.0,0.0,0.0,
2026-09-30T07:17Z,1185854,0.0,0.0,0.0,
2026-09-30T07:18Z,1205632,0.0,0.0,0.0,
2026-09-30T07:19Z,977944,0.0,0.0,0.0,
2026-09-30T07:20Z,60716,0.0,0.0,0.0,
2026-09-30T07:21Z,350342,0.0,0.0,0.0,
2026-09-30T07:22Z,381822,0.0,0.0,0.0,
2026-09-30T07:23Z,391577,0.0,0.0,0.0,
2026-09-30T07:24Z,499168,0.0,0.0,0.0,
2026-09-30T07:25Z,628224,0.0,0.0,0.0,
2026-09-30T07:26Z,631692,0.0,0.0,0.0,
2026-09-30T07:27Z,693402,0.0,0.0,0.0,
2026-09-30T07:28Z,756553,0.0,0.0,0.0,
2026-09-30T07:29Z,818295,0.0,0.0,0.0,
2026-09-30T07:30Z,780078,0.0,0.0,0.0,
2026-09-30T07:31Z,936981,0.0,0.0,0.0,
2026-09-30T07:32Z,885005,0.0,0.0,0.0,
2026-09-30T07:33Z,934310,0.0,0.0,0.0,
2026-09-30T07:34Z,608608,0.0,0.0,0.0,
2026-09-30T07:35Z,885249,0.0,0.0,0.0,
2026-09-30T07:36Z,788528,0.0,0.0,0.0,
2026-09-30T07:37Z,954647,0.0,0.0,0.0,
2026-09-30T07:38Z,1283703,0.0,0.0,0.0,
2026-09-30T07:39Z,890215,0.0,0.0,0.0,
2026-09-30T07:40Z,1073266,0.0,0.0,0.0,
2026-09-30T07:41Z,1111729,0.0,0.0,0.0,
2026-09-30T07:42Z,982620,0.0,0.0,0.0,
2026-09-30T07:43Z,1010354,0.0,0.0,0.0,
2026-09-30T07:44Z,1213451,0.0,0.0,0.0,
2026-09-30T07:45Z,1251937,0.0,0.0,0.0,
2026-09-30T07:46Z,1102799,0.0,0.0,0.0,
2026-09-30T07:47Z,1130510,0.0,0.0,0.0,
2026-09-30T07:48Z,1158196,0.0,0.0,0.0,
2026-09-30T07:49Z,1185909,0.0,0.0,0.0,
2026-09-30T07:50Z,1213626,0.0,0.0,0.0,
2026-09-30T07:51Z,1241329,0.0,0.0,0.0,
2026-09-30T07:52Z,1269001,0.0,0.0,0.0,
2026-09-30T07:53Z,1296719,0.0,0.0,0.0,
2026-09-30T07:54Z,879872,0.0,0.0,0.0,
2026-09-30T07:55Z,1342882,0.0,0.0,0.0,
2026-09-30T07:56Z,1139864,0.0,0.0,0.0,
2026-09-30T07:57Z,1393664,0.0,0.0,0.0,
2026-09-30T07:58Z,1182922,0.0,0.0,0.0,
2026-09-30T07:59Z,1444476,0.0,0.0,0.0,
2026-09-30T08:00Z,978373,0.0,0.0,0.0,
2026-09-30T08:01Z,92619,0.0,0.0,0.0,
2026-09-30T08:02Z,205540,0.0,0.0,0.0,
2026-09-30T08:03Z,233351,0.0,0.0,0.0,
2026-09-30T08:04Z,353975,0.0,0.0,0.0,
2026-09-30T08:05Z,402929,0.0,0.0,0.0,
2026-09-30T08:06Z,511488,0.0,0.0,0.0,
2026-09-30T08:07Z,574143,0.0,0.0,0.0,
2026-09-30T08:08Z,562041,0.0,0.0,0.0,
2026-09-30T08:09Z,610968,0.0,0.0,0.0,
2026-09-30T08:10Z,574350,0.0,0.0,0.0,
2026-09-30T08:11Z,522408,0.0,0.0,0.0,
2026-09-30T08:12Z,739372,0.0,0.0,0.0,
2026-09-30T08:13Z,890651,0.0,0.0,0.0,
2026-09-30T08:14Z,734913,0.0,0.0,0.0,
2026-09-30T08:15Z,886182,0.0,0.0,0.0,
2026-09-30T08:16Z,815917,0.0,0.0,0.0,
2026-09-30T08:17Z,728844,0.0,0.0,0.0,
2026-09-30T08:18Z,501185,0.0,0.0,0.0,
2026-09-30T08:19Z,1039059,0.0,0.0,0.0,
2026-09-30T08:20Z,1087991,0.0,0.0,0.0,
2026-09-30T08:21Z,991778,0.0,0.0,0.0,
2026-09-30T08:22Z,1029958,0.0,0.0,0.0,
2026-09-30T08:23Z,1066718,0.0,0.0,0.0,
2026-09-30T08:24Z,1265380,0.0,0.0,0.0,
2026-09-30T08:25Z,1147697,0.0,0.0,0.0,
2026-09-30T08:26Z,1357101,0.0,0.0,0.0,
2026-09-30T08:27Z,1227242,0.0,0.0,0.0,
2026-09-30T08:28Z,1265419,0.0,0.0,0.0,
2026-09-30T08:29Z,1491651,0.0,0.0,0.0,
2026-09-30T08:30Z,1344968,0.0,0.0,0.0,
2026-09-30T08:31Z,1583406,0.0,0.0,0.0,
2026-09-30T08:32Z,1425993,0.0,0.0,0.0,
2026-09-30T08:33Z,1251768,0.0,0.0,0.0,
2026-09-30T08:34Z,1279263,0.0,0.0,0.0,
2026-09-30T08:35Z,1306776,0.0,0.0,0.0,
2026-09-30T08:36Z,1334292,0.0,0.0,0.0,
2026-09-30T08:37Z,1362191,0.0,0.0,0.0,
2026-09-30T08:38Z,1623849,0.0,0.0,0.0,
2026-09-30T08:39Z,1421942,0.0,0.0,0.0,
2026-09-30T08:40Z,1449430,0.0,0.0,0.0,
2026-09-30T08:41Z,735383,0.0,0.0,0.0,
2026-09-30T08:42Z,124124,0.0,0.0,0.0,
2026-09-30T08:43Z,285340,0.0,0.0,0.0,
2026-09-30T08:44Z,380472,0.0,0.0,0.0,
2026-09-30T08:45Z,391173,0.0,0.0,0.0,
2026-09-30T08:46Z,440350,0.0,0.0,0.0,
2026-09-30T08:47Z,553562,0.0,0.0,0.0,
2026-09-30T08:48Z,474005,0.0,0.0,0.0,
2026-09-30T08:49Z,587233,0.0,0.0,0.0,
2026-09-30T08:50Z,718866,0.0,0.0,0.0,
2026-09-30T08:51Z,781442,0.0,0.0,0.0,
2026-09-30T08:52Z,649878,0.0,0.0,0.0,
2026-09-30T08:53Z,687999,0.0,0.0,0.0,
2026-09-30T08:54Z,831689,0.0,0.0,0.0,
2026-09-30T08:55Z,767414,0.0,0.0,0.0,
2026-09-30T08:56Z,1042449,0.0,0.0,0.0,
2026-09-30T08:57Z,978216,0.0,0.0,0.0,
2026-09-30T08:58Z,1158539,0.0,0.0,0.0,
2026-09-30T08:59Z,1082036,0.0,0.0,0.0,
2026-09-30T09:00Z,1130882,0.0,0.0,0.0,
2026-09-30T09:01Z,1029973,0.0,0.0,0.0,
2026-09-30T09:02Z,912295,0.0,0.0,0.0,
2026-09-30T09:03Z,1259136,0.0,0.0,0.0,
2026-09-30T09:04Z,976433,0.0,0.0,0.0,
2026-09-30T09:05Z,1344599,0.0,0.0,0.0,
2026-09-30T09:06Z,1393411,0.0,0.0,0.0,
2026-09-30T09:07Z,1258913,0.0,0.0,0.0,
2026-09-30T09:08Z,1297016,0.0,0.0,0.0,
2026-09-30T09:09Z,1333658,0.0,0.0,0.0,
2026-09-30T09:10Z,1371717,0.0,0.0,0.0,
2026-09-30T09:11Z,1205180,0.0,0.0,0.0,
2026-09-30T09:12Z,1440399,0.0,0.0,0.0,
2026-09-30T09:13Z,1478473,0.0,0.0,0.0,
2026-09-30T09:14Z,1296688,0.0,0.0,0.0,
2026-09-30T09:15Z,1324129,0.0,0.0,0.0,
2026-09-30T09:16Z,1808171,0.0,0.0,0.0,
2026-09-30T09:17Z,1154531,0.0,0.0,0.0,
2026-09-30T09:18Z,1174302,0.0,0.0,0.0,
2026-09-30T09:19Z,1675186,0.0,0.0,0.0,
2026-09-30T09:20Z,1220038,0.0,0.0,0.0,
2026-09-30T09:21Z,61090,0.0,0.0,0.0,
2026-09-30T09:22Z,308215,0.0,0.0,0.0,
2026-09-30T09:23Z,371046,0.0,0.0,0.0,
2026-09-30T09:24Z,432316,0.0,0.0,0.0,
2026-09-30T09:25Z,553332,0.0,0.0,0.0,
2026-09-30T09:26Z,697795,0.0,0.0,0.0,
